id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,view_id,res_id,limit,search_view_id,domain,context,res_model,target,view_mode,mobile_view_mode,usage,filter
530,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Activity Types""}",,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,,"['|', ('res_model', '=', False), ('res_model', '=', 'sale.order')]",{'default_res_model': 'sale.order'},mail.activity.type,current,"tree,form",kanban,,
531,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sale Order Plans""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Add a new plan\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,336,"[('res_model', '=', 'sale.order')]",{'default_res_model': 'sale.order'},mail.activity.plan,current,"tree,form",kanban,,
532,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Products""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create a new product\n            </p><p>\n                You must define a product for everything you sell or purchase,\n                whether it's a storable product, a consumable or a service.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,1839,,80,1795,,"{""search_default_filter_to_sell"":1, ""sale_multi_pricelist_product_template"": 1}",product.template,current,"kanban,tree,form,activity",kanban,,
533,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quotations and Sales""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Create a new quotation, the first step of a new sale!\n            </p><p>\n            Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,,,{'default_partner_id': active_id},sale.order,current,"tree,kanban,form,graph",kanban,,
643,,1,1,ir.actions.act_window,action,form,"{""en_US"": ""Media Reservation""}",,2024-04-18 10:42:39.074562,2024-04-18 10:42:39.074562,2978,,80,,,{},reserve.media,new,form,kanban,,
388,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Activity Types""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create an Activity Type\n            </p><p>\n                Those represent the different categories of things you have to do (e.g. \""Call\"" or \""Prepare meeting\"").\n            </p>\n        ""}",2024-04-18 07:46:37.983166,2024-04-18 07:47:12.503609,,,80,,"['|', ('res_model', '=', False), ('res_model', 'in', ['sale.order', 'res.partner', 'product.template', 'product.product'])]",{},mail.activity.type,current,"tree,form",kanban,,
535,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Registrations""}","{""en_US"": ""<p class=\""o_view_nocontent_empty_folder\"">\n                No registration linked to this visitor\n            </p>\n        ""}",2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443,,,80,,"[('visitor_id', 'in', [active_id])]",{},event.registration,current,"kanban,tree,form",kanban,,
536,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Answer Breakdown""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                No Answers yet!\n            </p><p>\n                Come back once you have registrations to overview answers.\n            </p>\n        ""}",2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443,,,80,2345,,{},event.registration.answer,current,"tree,graph,pivot",kanban,,
537,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Menus""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                No Website Menu Items yet!\n            </p><p>\n                This technical menu displays all event sub-menu items.\n            </p>\n        ""}",2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443,,,80,,,{'create': False},website.event.menu,current,"tree,form",kanban,,
538,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Event Pages""}",,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443,,,80,,,{'create_action': 'website_event.event_event_action_add'},event.event,current,"tree,kanban",kanban,,
