id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
141,74,4,1,1,ir_profile,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
142,75,4,1,1,access.base.enable.profiling.wizard,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
143,118,4,1,1,access.base.document.layout,t,t,t,t,f,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016
144,120,1,1,1,auth_totp wizard access rules,t,t,t,t,t,2024-04-18 07:38:53.25362,2024-04-18 07:38:53.25362
145,119,1,1,1,TOTP Device access employees,t,t,f,f,f,2024-04-18 07:38:53.25362,2024-04-18 07:38:53.25362
146,119,10,1,1,TOTP Device access portal,t,t,f,f,f,2024-04-18 07:38:53.25362,2024-04-18 07:38:53.25362
147,121,1,1,1,base.import.mapping,t,t,t,t,t,2024-04-18 07:38:53.473214,2024-04-18 07:38:53.473214
148,122,1,1,1,access.base_import.import,t,t,t,t,f,2024-04-18 07:38:53.473214,2024-04-18 07:38:53.473214
149,123,4,1,1,access.base.import.module,t,t,t,t,f,2024-04-18 07:38:54.13821,2024-04-18 07:38:54.13821
150,124,,1,1,bus.bus public,t,f,f,f,f,2024-04-18 07:38:54.469874,2024-04-18 07:38:54.469874
151,125,1,1,1,bus.presence,t,t,t,t,t,2024-04-18 07:38:54.469874,2024-04-18 07:38:54.469874
152,125,10,1,1,bus.presence,t,t,t,t,t,2024-04-18 07:38:54.469874,2024-04-18 07:38:54.469874
153,127,4,1,1,access_web_tour_tour_admin,t,t,f,t,f,2024-04-18 07:38:54.618454,2024-04-18 07:38:54.618454
154,127,1,1,1,access_web_tour_tour,t,t,f,f,f,2024-04-18 07:38:54.618454,2024-04-18 07:38:54.618454
155,128,4,1,1,iap.account.manager,t,t,t,t,t,2024-04-18 07:38:54.744654,2024-04-18 07:38:54.744654
156,128,1,1,1,iap.account.user,t,t,f,t,f,2024-04-18 07:38:54.744654,2024-04-18 07:38:54.744654
157,129,1,1,1,access_iap_account_info,t,t,t,t,t,2024-04-18 07:38:54.744654,2024-04-18 07:38:54.744654
158,134,4,1,1,access_web_editor_converter_test,t,t,t,t,t,2024-04-18 07:38:54.945631,2024-04-18 07:38:54.945631
159,135,4,1,1,access_web_editor_converter_test_sub,t,t,t,t,t,2024-04-18 07:38:54.945631,2024-04-18 07:38:54.945631
160,136,1,1,1,resource.calendar.user,t,t,f,f,f,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
161,136,4,1,1,resource.calendar.system,t,t,t,t,t,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
162,137,1,1,1,resource.calendar.attendance.user,t,t,f,f,f,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
163,137,4,1,1,resource.calendar.attendance.system,t,t,t,t,t,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
165,140,1,1,1,resource.resource all,t,t,f,f,f,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
166,138,1,1,1,resource.calendar.leaves,t,t,t,t,t,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
167,138,4,1,1,resource.calendar.leaves,t,t,t,t,t,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
168,141,10,1,1,access_utm_campaign,t,t,f,t,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
169,141,1,1,1,access_utm_campaign_user,t,t,t,t,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
170,141,4,1,1,utm.campaign.system,t,t,t,t,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
171,142,10,1,1,access_utm_medium,t,t,f,t,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
172,142,1,1,1,access_utm_medium_user,t,t,t,t,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
173,142,4,1,1,utm.medium.system,t,t,t,t,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
174,144,10,1,1,access_utm_source,t,t,f,t,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
175,144,1,1,1,access_utm_source_user,t,t,t,t,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
176,144,4,1,1,utm.source.system,t,t,t,t,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
177,146,1,1,1,mail.utm.stage,t,t,f,f,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
178,146,4,1,1,mail.utm.stage,t,t,t,t,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
179,147,1,1,1,utm.tag,t,t,f,f,f,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
180,147,4,1,1,utm.tag,t,t,t,t,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
181,162,4,1,1,fetchmail.server,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
182,176,11,1,1,mail.message.all,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
183,176,10,1,1,mail.message.portal,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
184,176,1,1,1,mail.message.user,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
185,173,4,1,1,mail.message.scheduled.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
186,177,4,1,1,mail.mail.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
187,169,1,1,1,mail.followers.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
188,169,4,1,1,mail.followers.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
189,163,10,1,1,mail.notification.portal,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
190,163,1,1,1,mail.notification.user,t,t,t,t,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
191,163,4,1,1, mail.notification.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
192,203,11,1,1,discuss.channel.public,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
193,203,10,1,1,discuss.channel.portal,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
194,203,1,1,1,discuss.channel.user,t,t,t,t,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
195,203,4,1,1,discuss.channel.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
196,201,11,1,1,discuss.channel.member.public,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
197,201,10,1,1,discuss.channel.member.portal,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
198,201,1,1,1,discuss.channel.member.user,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
199,202,4,1,1,discuss.channel.rtc.session.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
200,148,1,1,1,mail.alias.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
201,148,4,1,1,mail.alias.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
202,149,1,1,1,mail.alias.domain.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
203,149,2,1,1,mail.alias.domain.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
204,170,4,1,1,mail.gateway.allowed.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
205,172,4,1,1,mail.message.reaction.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
206,174,11,1,1,mail.message.subtype.all,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
207,174,10,1,1,mail.message.subtype.all,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
208,174,1,1,1,mail.message.subtype.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
209,174,4,1,1,mail.message.subtype.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
210,178,4,1,1,mail.tracking.value.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
211,198,4,1,1,publisher.warranty.contract.all,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
212,179,1,1,1,mail.template,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
213,179,12,1,1,mail.template_editor,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
214,179,4,1,1,mail.template_system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
215,181,1,1,1,mail.shortcode,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
216,181,10,1,1,mail.shortcode.portal,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
217,165,1,1,1,mail.activity.user,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
218,166,1,1,1,mail.activity.plan.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
219,166,4,1,1,mail.activity.plan.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
220,167,1,1,1,mail.activity.plan.template.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
221,167,4,1,1,mail.activity.plan.template.system,t,t,t,t,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
222,214,1,1,1,mail.activity.schedule.user,t,t,t,t,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
223,164,1,1,1,mail.activity.type.user,t,t,f,f,f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
