id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
115,487,1,1,Project Stage: multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
117,493,1,1,Project: employees: following required for follower-only projects,"['|',
                                        ('privacy_visibility', '!=', 'followers'),
                                        ('message_partner_ids', 'in', [user.partner_id.id])
                                    ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
118,490,1,1,Project/Task: multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
120,490,1,1,Project/Task: project manager: see all tasks linked to a project or its own tasks,"[
            '|', ('project_id', '!=', False),
                 ('user_ids', 'in', user.id),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
119,490,1,1,Project/Task: employees: follow required for follower-only projects,"[
            '|',
                '&',
                    ('project_id', '!=', False),
                    '|',
                        ('project_id.privacy_visibility', '!=', 'followers'),
                        ('project_id.message_partner_ids', 'in', [user.partner_id.id]),
                '|',
                    ('message_partner_ids', 'in', [user.partner_id.id]),
                    # to subscribe check access to the record, follower is not enough at creation
                    ('user_ids', 'in', user.id)
        ]",t,t,f,f,f,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:27.909977
121,494,1,1,Project/Task Type: manager sees all,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
122,494,1,1,Project/Task Type: see own or unowned stages,"[('user_id', 'in', (False, user.id))]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
123,494,1,1,Project/Task Type: write own stages,"[('user_id', '=', user.id)]",t,f,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
124,498,1,1,Task Analysis multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
125,489,1,1,Project: See my own personal stage,"[('user_id', '=', user.id)]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
126,490,1,1,Project: See private tasks,"[
            ('project_id.privacy_visibility', '!=', 'followers'),
            '|', '|', ('project_id', '!=', False),
                      ('parent_id', '!=', False),
                 ('user_ids', 'in', user.id),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
127,493,1,1,Project: portal users: portal and following,"[
            '&',
                ('privacy_visibility', '=', 'portal'),
                ('message_partner_ids', 'child_of', [user.partner_id.commercial_partner_id.id]),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
128,496,1,1,Project/Collaborator: portal users: can only see his own collobaroration in shared projects,"[
            ('project_id.privacy_visibility', '=', 'portal'),
            ('partner_id', '=', user.partner_id.id),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
129,490,1,1,Project/Task: portal users: (portal and following project) or (portal and following task),"[
        ('project_id.privacy_visibility', '=', 'portal'),
        ('active', '=', True),
        '|',
            ('project_id.message_partner_ids', 'child_of', [user.partner_id.commercial_partner_id.id]),
            ('message_partner_ids', 'child_of', [user.partner_id.commercial_partner_id.id]),
        ]",t,t,f,f,f,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
130,490,1,1,Project/Task: portal users: portal user can edit with project sharing feature,"[
            ('project_id.privacy_visibility', '=', 'portal'),
            ('active', '=', True),
            '|',
                ('project_id.message_partner_ids', 'child_of', [user.partner_id.commercial_partner_id.id]),
                ('message_partner_ids', 'child_of', [user.partner_id.commercial_partner_id.id]),
            ('project_id.collaborator_ids.partner_id', 'in', [user.partner_id.id]),
        ]",f,f,t,t,f,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
131,492,1,1,Project/Updates: multi-company,"['|', ('project_id.company_id', 'in', company_ids), ('project_id.company_id', '=', False)]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
132,492,1,1,Project/Update: employees: follow required for follower-only projects,"[
        '|',
            ('project_id.privacy_visibility', '!=', 'followers'),
            '|',
                ('project_id.message_partner_ids', 'in', [user.partner_id.id]),
                '|',
                    ('user_id', '=', user.id),
                    ('project_id.user_id', '=', user.id)
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
133,498,1,1,Tasks Analysis: project visibility User,"[
        '|',
            ('project_id.privacy_visibility', '!=', 'followers'),
            '|',
                ('project_id.message_partner_ids', 'in', [user.partner_id.id]),
                '|',
                    ('task_id.message_partner_ids', 'in', [user.partner_id.id]),
                    ('user_ids', 'in', user.id),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
134,498,1,1,Tasks Analysis: project visibility Manager,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
135,492,1,1,Project updates : Project user can see all project updates,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
136,499,1,1,Burndown chart: project visibility User,"[
        '|',
            ('project_id.privacy_visibility', '!=', 'followers'),
            '|',
                ('project_id.message_partner_ids', 'in', [user.partner_id.id]),
                ('user_ids', 'in', user.id),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
137,499,1,1,Burndown chart: project visibility User,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
138,491,1,1,Project/Milestone: multi-company,"['|', ('project_id.company_id', 'in', company_ids), ('project_id.company_id', '=', False)]",t,t,t,t,t,t,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
139,491,1,1,Project/Milestone: employees: follow required for follower-only projects,"[
        '|',
            ('project_id.privacy_visibility', '!=', 'followers'),
            '|',
                ('project_id.message_partner_ids', 'in', [user.partner_id.id]),
                ('project_id.user_id', '=', user.id),
        ]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
140,491,1,1,Project/Milestone: Project manager can see all project milestones,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
