id,currency_id,company_id,group_id,root_id,create_uid,write_uid,code,account_type,internal_group,name,note,deprecated,include_initial_balance,reconcile,non_trade,create_date,write_date
26,,1,,49049,1,1,112310,liability_current,liability,"{""en_US"": ""TDS Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
27,,1,,49049,1,1,112320,liability_current,liability,"{""en_US"": ""SGST Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
28,,1,,49049,1,1,112330,liability_current,liability,"{""en_US"": ""CGST Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
29,,1,,49049,1,1,112340,liability_current,liability,"{""en_US"": ""IGST Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
30,,1,,49049,1,1,112390,liability_current,liability,"{""en_US"": ""Tax Current Account - Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
31,,1,,49049,1,1,112410,liability_current,liability,"{""en_US"": ""Wages Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
32,,1,,49049,1,1,112420,liability_current,liability,"{""en_US"": ""Interest Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
40,,1,,50048,1,1,201100,income,income,"{""en_US"": ""Gain on Sale of Assets""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
41,,1,,50048,1,1,201200,income,income,"{""en_US"": ""Write off Income""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
42,,1,,50048,1,1,201300,income_other,income,"{""en_US"": ""Foreign Exchange Profit""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
43,,1,,50049,1,1,210000,expense,expense,"{""en_US"": ""Electricity Expense""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
