id,relation_field_id,model_id,related_field_id,size,create_uid,write_uid,name,complete_name,model,relation,relation_field,ttype,related,state,on_delete,domain,relation_table,column1,column2,depends,currency_field,field_description,help,compute,copied,required,readonly,index,translate,group_expand,selectable,store,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,create_date,write_date,tracking,website_form_blacklisted
8669,,597,,,,,create_date,,validate.account.move,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8670,,597,,,,,write_uid,,validate.account.move,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8671,,597,,,,,write_date,,validate.account.move,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8672,,598,,,,,move_ids,,account.move.reversal,account.move,,many2many,,base,,,account_move_reversal_move,reversal_id,move_id,,,"{""en_US"": ""Move""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8673,,598,,,,,new_move_ids,,account.move.reversal,account.move,,many2many,,base,,,account_move_reversal_new_move,reversal_id,new_move_id,,,"{""en_US"": ""New Move""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8674,,598,,,,,date,,account.move.reversal,,,date,,base,,,,,,,,"{""en_US"": ""Reversal date""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8675,,598,,,,,reason,,account.move.reversal,,,char,,base,,,,,,,,"{""en_US"": ""Reason displayed on Credit Note""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
9462,,635,,,,,company_id,,sale.report,res.company,,many2one,,base,set null,,,,,,,"{""en_US"": ""Company""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8676,,598,,,,,journal_id,,account.move.reversal,account.journal,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Journal""}","{""en_US"": ""If empty, uses the journal of the journal entry to be reversed.""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8677,,598,,,,,company_id,,account.move.reversal,res.company,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Company""}",,,t,t,t,f,f,,t,t,,,,,,,,,,,,t
8678,,598,,,,,available_journal_ids,,account.move.reversal,account.journal,,many2many,,base,,,,,,,,"{""en_US"": ""Available Journal""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8679,,598,,2,,,country_code,,account.move.reversal,,,char,company_id.country_id.code,base,,,,,,,,"{""en_US"": ""Country Code""}","{""en_US"": ""The ISO country code in two chars. \nYou can use this field for quick search.""}",,f,f,t,f,f,,t,f,,,,,,,,,,,,t
8680,,598,,,,,residual,,account.move.reversal,,,monetary,,base,,,,,,,,"{""en_US"": ""Residual""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8681,,598,,,,,currency_id,,account.move.reversal,res.currency,,many2one,,base,set null,,,,,,,"{""en_US"": ""Currency""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8682,,598,,,,,move_type,,account.move.reversal,,,char,,base,,,,,,,,"{""en_US"": ""Move Type""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8683,,598,,,,,id,,account.move.reversal,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
